sub_industry,Industry,sector,sic_code,sic_description
(HVAC) Heating Contractors & Consultants,Construction & Engineering,Construction & Materials,43220,"Plumbing, heat and air-conditioning installation"
Animal Feed Manufacturing,Agricultural Products,Manufacturing & Industrials,10910,Manufacture of prepared feeds for farm animals
Abortion Advice,Health Care Providers & Services,Healthcare,86900,Other human health activities
Abrasive Products - Manufacturers & Distributors,Materials & Metals,Manufacturing & Industrials,23910,Production of abrasive products
Academy Schools,Education Services,Education,85200,Primary education
Access Consultants,Consulting Services,Professional Services,71129,Other engineering activities
Access Control Systems & Solutions,Security Services & Equipment,Professional Services,80200,Security systems service activities
Access Equipment,Industrial Equipment & Supplies,Manufacturing & Industrials,28220,Manufacture of lifting and handling equipment
Accident Management,Insurance,Financial Services,66210,Risk and damage evaluation
Accommodation Address Agents,Property Rental & Real Estate Services,Real Estate,82990,Other business support service activities n.e.c.
Accounting & Audit,Professional & Commercial Services,Professional Services,69201,Accounting and auditing activities
Accounting & Bookkeeping Services,Professional & Commercial Services,Professional Services,69202,Bookkeeping activities
Accounting Software,Software Development & Services,Information Technology,62012,Business and domestic software development
Acoustical Consultants,Acoustic Engineering,Professional Services,71122,Engineering related scientific and technical consulting activities
Acoustical Engineering,Acoustic Engineering,Professional Services,71129,Other engineering activities
Actuaries,Insurance,Financial Services,66290,Other activities auxiliary to insurance and pension funding
Acupuncture,Health Care Providers & Services,Healthcare,86900,Other human health activities
Addiction Rehabilitation & Treatment Center,Health Care Providers & Services,Healthcare,87200,"Residential care activities for learning difficulties, mental health and substance abuse"
Addictions Helplines,Civic & Social Organizations,Public Sector & Government,86900,Other human health activities
Additive Manufacturing,Machinery & Manufacturing Services,Manufacturing & Industrials,28990,Manufacture of other special-purpose machinery n.e.c.
"Adhesives, Glues & Sealants",Chemical Products & Chemicals,Construction & Materials,20520,Manufacture of glues
Adoption & Fostering,Civic & Social Organizations,Public Sector & Government,88990,Other social work activities without accommodation n.e.c.
Adult Education Centres,Education Services,Education,85590,Other education n.e.c.
Advanced Medics,Health Care Providers & Services,Healthcare,86900,Other human health activities
Advertisement Packages,Marketing & Advertising,Marketing & Advertising,73110,Advertising agencies
Advice,Consulting Services,Professional Services,70229,Management consultancy activities other than financial management
Aerial Photographers,Photography,"Media, Publishing & Entertainment",74202,Other specialist photography
Aeronautical Instrument Makers,Aerospace & Defense,Manufacturing & Industrials,30300,Manufacture of air and spacecraft and related machinery
Aerosols,Chemical Products & Chemicals,Construction & Materials,20590,Manufacture of other chemical products n.e.c.
Aerospace,Aerospace & Defense,Manufacturing & Industrials,30300,Manufacture of air and spacecraft and related machinery
African Restaurants,"Hotels, Restaurants & Leisure",Hospitality,56101,Licenced restaurants
Aftersales Service,Customer Support Services,Professional Services,33190,Repair of other equipment
After-school Care/Activities/Programs,Education Services,Education,85590,Other education n.e.c.
Agricultural Chemical Manufacturing,Chemical Products & Chemicals,Construction & Materials,20150,Manufacture of fertilizers and nitrogen compounds
Agricultural Crops,Agriculture,Agriculture & Farming,01110,"Growing of cereals (except rice), leguminous crops and oil seeds"
Agricultural Engineers,Agricultural Engineering,Agriculture & Farming,71122,Engineering related scientific and technical consulting activities
Agricultural Haulage,Logistics & Transportation,Transportation & Logistics,49410,Freight transport by road
Agricultural Merchants/dealers,Agricultural Equipment,Manufacturing & Industrials,46110,"Agents selling agricultural raw materials, livestock, textile raw materials and semi-finished goods"
Agricultural Services,Agriculture,Agriculture & Farming,01610,Support activities for crop production
Agricultural/Farm Vehicles,Agricultural Equipment,Manufacturing & Industrials,28301,Manufacture of agricultural tractors
Agriculture Buildings,Construction & Engineering,Construction & Materials,41201,Construction of commercial buildings
Agriculture Products,Agriculture,Agriculture & Farming,01610,Support activities for crop production
Agroindustry,Agriculture,Agriculture & Farming,01610,Support activities for crop production
Aid Supplies,Civic & Social Organizations,Public Sector & Government,88990,Other social work activities without accommodation n.e.c.
